Id,LotFrontage,LotArea,Street,LotConfig,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
355,60,8400,Pave,Inside,Norm,Norm,1.5Fin,6,5,1940,2000,Gable,CompShg,Wd Sdng,MetalSd,CBlock,TA,TA,No,940,GasA,Ex,Y,SBrkr,1192,403,0,1595,0,0,1,1,TA,6,2,Attchd,1940,Unf,1,240,Y,0,0,108,0,0,0,NA,6,2006,WD,Normal,140000
356,105,11249,Pave,Inside,Norm,Norm,1Story,6,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,Gd,No,1200,GasA,Ex,Y,SBrkr,1200,0,0,1200,1,0,2,1,Gd,6,0,Attchd,1995,RFn,2,521,Y,0,26,0,0,0,0,NA,8,2007,WD,Normal,177500
357,NA,9248,Pave,Inside,Norm,Norm,1Story,6,6,1992,1992,Gable,CompShg,HdBoard,HdBoard,PConc,Gd,TA,No,1158,GasA,Gd,Y,SBrkr,1167,0,0,1167,1,0,2,1,Gd,6,0,Attchd,1992,RFn,2,400,Y,120,26,0,0,0,0,NA,7,2009,WD,Normal,173000
358,44,4224,Pave,Inside,Norm,Norm,1Story,5,5,1976,1976,Gable,CompShg,CemntBd,CmentBd,PConc,Gd,TA,No,1142,GasA,TA,Y,SBrkr,1142,0,0,1142,1,0,1,1,TA,6,1,Attchd,1976,Fin,2,528,Y,536,90,0,0,0,0,MnPrv,8,2007,WD,Normal,134000
359,92,6930,Pave,Inside,Norm,Norm,SLvl,5,4,1958,1958,Hip,CompShg,Wd Sdng,ImStucc,CBlock,TA,TA,Av,1062,GasA,Ex,Y,FuseF,1352,0,0,1352,0,1,1,1,Gd,6,0,BuiltIn,1958,Unf,1,288,Y,168,0,294,0,0,0,NA,7,2006,WD,Abnorml,130000
360,78,12011,Pave,CulDSac,Norm,Norm,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,1086,GasA,Ex,Y,SBrkr,1086,838,0,1924,1,0,2,1,Gd,7,1,Attchd,1998,RFn,2,592,Y,208,75,0,0,374,0,NA,6,2006,WD,Normal,280000
361,NA,7540,Pave,CulDSac,Norm,Norm,SFoyer,6,6,1978,1978,Gable,CompShg,VinylSd,VinylSd,CBlock,Gd,TA,Av,888,GasA,Ex,Y,SBrkr,912,0,0,912,1,0,1,1,TA,5,1,Attchd,1978,RFn,2,470,Y,0,0,0,0,192,0,MnPrv,6,2007,WD,Normal,156000
362,NA,9144,Pave,Inside,Norm,Norm,1.5Fin,5,5,1940,1982,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,883,GasA,Gd,Y,SBrkr,988,517,0,1505,1,0,1,1,TA,8,0,Detchd,1940,Unf,1,240,N,0,0,0,0,0,0,NA,7,2008,WD,Normal,145000
363,64,7301,Pave,Corner,Norm,Norm,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,Slab,NA,NA,NA,0,GasA,Ex,Y,SBrkr,495,1427,0,1922,0,0,3,1,Gd,7,1,BuiltIn,2003,RFn,2,672,Y,0,0,177,0,0,0,NA,7,2009,ConLD,Normal,198500
364,21,1680,Pave,Inside,Norm,Norm,2Story,6,8,1972,2007,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,483,GasA,Gd,Y,SBrkr,483,504,0,987,0,0,1,1,Gd,5,0,Detchd,1972,Unf,1,264,Y,250,0,0,0,0,0,NA,5,2009,WD,Normal,118000
365,NA,18800,Pave,FR2,Norm,Norm,2Story,6,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,PConc,Gd,TA,Mn,796,GasA,TA,Y,SBrkr,790,784,0,1574,1,0,2,1,TA,6,1,Attchd,1976,Fin,2,566,Y,306,111,0,0,0,0,NA,7,2006,WD,Normal,190000
366,59,10690,Pave,Inside,Norm,Norm,2Story,5,7,1920,1997,Hip,CompShg,VinylSd,VinylSd,CBlock,TA,Fa,No,672,GasA,Gd,Y,FuseA,672,672,0,1344,0,0,1,1,TA,6,0,Detchd,1964,Unf,1,468,Y,0,128,218,0,0,0,NA,7,2009,WD,Normal,147000
367,NA,9500,Pave,Inside,Norm,Norm,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,CBlock,Gd,TA,No,1394,GasA,Gd,Y,SBrkr,1394,0,0,1394,1,0,1,1,TA,6,2,Attchd,1963,RFn,2,514,Y,0,76,0,0,185,0,NA,7,2009,WD,Normal,159000
368,101,9150,Pave,Corner,Norm,Norm,SLvl,6,5,1962,1962,Gable,Tar&Grv,Plywood,Plywood,CBlock,Gd,TA,Gd,1099,GasA,Gd,Y,SBrkr,1431,0,0,1431,0,1,1,1,TA,6,1,Basment,1962,RFn,1,296,Y,64,110,0,0,0,0,NA,12,2008,WD,Normal,165000
369,78,7800,Pave,Inside,Norm,Norm,1Story,5,6,1954,1954,Gable,CompShg,HdBoard,HdBoard,PConc,TA,TA,No,1268,GasA,Gd,Y,SBrkr,1268,0,0,1268,0,0,1,1,TA,7,1,Attchd,1954,Fin,1,244,Y,0,98,0,0,0,0,NA,3,2010,WD,Normal,132000
370,NA,9830,Pave,Corner,Norm,Norm,1Story,5,7,1959,2006,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,1063,GasA,Ex,Y,SBrkr,1287,0,0,1287,1,0,1,1,Gd,7,1,Detchd,1997,Fin,2,576,Y,364,17,0,0,182,0,NA,3,2010,WD,Normal,162000
371,NA,8121,Pave,Inside,Norm,Norm,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,953,GasA,Ex,Y,SBrkr,953,711,0,1664,0,0,2,1,TA,7,1,Attchd,2000,RFn,2,460,Y,100,40,0,0,0,0,NA,1,2006,WD,Normal,172400
372,80,17120,Pave,Inside,Feedr,Norm,1.5Fin,4,4,1959,1959,Gable,CompShg,WdShing,Plywood,CBlock,NA,NA,NA,0,GasA,TA,Y,SBrkr,1120,468,0,1588,0,0,2,1,TA,7,1,Detchd,1991,Fin,2,680,N,0,59,0,0,0,0,NA,7,2008,WD,Normal,134432
373,50,7175,Pave,Inside,Norm,Norm,1Story,6,5,1984,1984,Gable,CompShg,Plywood,Plywood,CBlock,Gd,TA,No,744,GasA,TA,Y,SBrkr,752,0,0,752,1,0,1,1,TA,4,0,Attchd,1984,Unf,1,264,Y,353,0,0,0,90,0,MnPrv,2,2010,WD,Normal,125000
374,79,10634,Pave,Inside,Norm,Norm,1Story,5,6,1953,1953,Gable,CompShg,MetalSd,MetalSd,PConc,TA,TA,No,608,GasA,TA,Y,SBrkr,1319,0,0,1319,1,0,1,1,TA,5,0,Attchd,1953,Unf,1,270,Y,66,0,0,0,0,0,GdWo,11,2009,WD,Normal,123000
375,65,8200,Pave,Inside,Norm,Norm,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,847,GasA,Ex,Y,SBrkr,847,1081,0,1928,0,0,2,1,Gd,8,1,BuiltIn,2003,Fin,2,434,Y,100,48,0,0,0,0,NA,7,2007,WD,Normal,219500
376,NA,10020,Pave,Inside,Norm,Norm,1Story,1,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,Fa,Po,Gd,683,GasA,Gd,N,FuseA,904,0,0,904,1,0,0,1,Fa,4,0,NA,NA,NA,0,0,Y,0,0,0,0,0,0,NA,3,2009,WD,Normal,61000
377,57,8846,Pave,CulDSac,Norm,Norm,SFoyer,5,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,870,GasA,Ex,Y,SBrkr,914,0,0,914,0,0,1,1,TA,5,0,Detchd,1998,Unf,2,576,Y,0,0,0,0,0,0,NA,7,2006,WD,Normal,148000
378,102,11143,Pave,Corner,Norm,Norm,2Story,8,5,2004,2005,Gable,CompShg,CemntBd,CmentBd,PConc,Gd,TA,No,1580,GasA,Ex,Y,SBrkr,1580,886,0,2466,0,0,3,1,Gd,8,1,Attchd,2004,RFn,2,610,Y,159,214,0,0,0,0,NA,12,2007,WD,Normal,340000
379,88,11394,Pave,Corner,Norm,Norm,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Av,1856,GasA,Ex,Y,SBrkr,1856,0,0,1856,1,0,1,1,Ex,8,1,Attchd,2010,Fin,3,834,Y,113,0,0,0,0,0,NA,6,2010,New,Partial,394432
380,60,8123,Pave,Inside,RRAn,Norm,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,982,GasA,Ex,Y,SBrkr,1007,793,0,1800,0,0,2,1,TA,7,1,Attchd,2000,Fin,2,463,Y,100,63,0,0,0,0,NA,6,2009,WD,Normal,179000
381,50,5000,Pave,Inside,Norm,Norm,1.5Fin,5,6,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,BrkTil,TA,TA,No,1026,GasA,TA,Y,SBrkr,1026,665,0,1691,0,0,2,1,Gd,6,1,Detchd,1924,Unf,1,308,Y,0,0,242,0,0,0,NA,5,2010,WD,Normal,127000
382,60,7200,Pave,Inside,Norm,Norm,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,Gd,No,1293,GasA,Ex,Y,SBrkr,1301,0,0,1301,1,0,2,1,Gd,5,1,Attchd,2006,RFn,2,572,Y,216,121,0,0,0,0,NA,8,2006,New,Partial,187750
383,79,9245,Pave,Inside,Norm,Norm,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,939,GasA,Ex,Y,SBrkr,939,858,0,1797,0,0,2,1,Gd,8,0,Attchd,2006,RFn,2,639,Y,144,53,0,0,0,0,NA,4,2007,WD,Normal,213500
384,60,9000,Pave,Corner,Norm,Norm,1.5Unf,6,3,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,Fa,Fa,No,784,GasA,TA,N,FuseA,784,0,0,784,0,0,1,1,TA,5,0,Detchd,1950,Unf,2,360,N,0,0,91,0,0,0,NA,10,2009,WD,Normal,76000
385,NA,53107,Pave,Corner,Feedr,Norm,2Story,6,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,PConc,Gd,TA,Av,1580,GasA,Ex,Y,SBrkr,1079,874,0,1953,1,0,2,1,Gd,9,2,Attchd,1992,Fin,2,501,Y,216,231,0,0,0,0,NA,6,2007,WD,Normal,240000
386,43,3182,Pave,Inside,Norm,Norm,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,1256,GasA,Ex,Y,SBrkr,1269,0,0,1269,0,0,2,1,Gd,6,1,Attchd,2004,Fin,2,430,Y,146,20,0,0,144,0,NA,4,2010,WD,Normal,192000
387,58,8410,Pave,FR2,Feedr,Norm,1.5Fin,5,3,1910,1996,Gambrel,CompShg,Wd Sdng,VinylSd,PConc,TA,TA,No,658,GasA,TA,Y,SBrkr,658,526,0,1184,0,0,1,1,TA,8,0,NA,NA,NA,0,0,N,0,151,0,0,0,0,NA,5,2006,WD,AdjLand,81000
388,72,7200,Pave,Inside,Norm,Norm,SLvl,6,6,1976,1976,Hip,CompShg,MetalSd,MetalSd,CBlock,TA,TA,Av,1041,GasA,Ex,Y,SBrkr,1125,0,0,1125,1,0,1,1,TA,6,1,Detchd,1977,Unf,1,352,Y,296,0,0,0,0,0,GdWo,10,2009,WD,Abnorml,125000
389,93,9382,Pave,CulDSac,Norm,Norm,1Story,7,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,1468,GasA,Ex,Y,SBrkr,1479,0,0,1479,0,0,2,1,Gd,6,0,Attchd,1999,RFn,2,577,Y,120,25,0,0,0,0,NA,7,2008,WD,Normal,191000
390,96,12474,Pave,Inside,Norm,Norm,2Story,10,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Av,1682,GasA,Ex,Y,SBrkr,1742,590,0,2332,1,0,2,1,Ex,9,1,BuiltIn,2008,Fin,3,846,Y,196,134,0,0,0,0,NA,8,2008,New,Partial,426000
391,50,8405,Pave,Inside,Norm,Norm,1.5Fin,5,8,1900,1950,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,Gd,No,861,GasA,Ex,Y,SBrkr,961,406,0,1367,1,0,1,1,TA,7,0,Detchd,1978,Unf,1,384,Y,0,130,112,0,0,0,MnPrv,4,2008,WD,Normal,119000
392,71,12209,Pave,CulDSac,Norm,Norm,2Story,6,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,No,804,GasA,Ex,Y,SBrkr,804,1157,0,1961,1,0,2,1,Gd,7,1,BuiltIn,2001,Fin,2,560,Y,125,192,0,0,0,0,NA,6,2009,WD,Normal,215000
393,NA,8339,Pave,Inside,Norm,Norm,1Story,5,7,1959,1959,Gable,CompShg,MetalSd,MetalSd,Slab,NA,NA,NA,0,GasA,TA,Y,SBrkr,882,0,0,882,0,0,1,1,TA,5,0,Attchd,1959,RFn,1,294,Y,0,0,0,0,0,0,MnPrv,7,2007,WD,Normal,106500
394,NA,7446,Pave,Corner,Feedr,Norm,1Story,4,5,1941,1950,Gable,CompShg,WdShing,Wd Shng,CBlock,TA,TA,No,788,GasA,TA,Y,FuseA,788,0,0,788,0,0,1,1,TA,4,2,NA,NA,NA,0,0,Y,0,0,0,0,0,0,GdWo,4,2006,WD,Abnorml,100000
395,60,10134,Pave,Inside,Norm,Norm,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,735,GasA,Gd,Y,FuseA,735,299,0,1034,0,0,1,1,TA,5,0,Detchd,1940,Unf,1,240,Y,0,39,0,0,0,0,NA,7,2007,WD,Normal,109000
396,68,9571,Pave,Inside,Norm,Norm,1Story,5,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,Av,1144,GasA,TA,Y,SBrkr,1144,0,0,1144,1,0,1,1,TA,6,0,Attchd,1956,Unf,1,596,Y,44,0,0,0,0,0,NA,6,2010,WD,Normal,129000
397,60,7200,Pave,Inside,Norm,Norm,1Story,5,5,1972,1972,Hip,CompShg,MetalSd,MetalSd,CBlock,TA,TA,Av,894,GasA,TA,Y,SBrkr,894,0,0,894,0,0,1,1,TA,6,0,Detchd,1985,RFn,2,600,Y,215,0,0,0,0,0,NA,9,2009,WD,Normal,123000
398,69,7590,Pave,Inside,PosN,Norm,2Story,5,5,1962,1962,Gable,CompShg,VinylSd,VinylSd,CBlock,TA,TA,No,864,GasA,TA,Y,SBrkr,876,936,0,1812,0,0,2,1,TA,8,1,Attchd,1962,RFn,1,264,Y,0,168,0,0,0,0,NA,7,2007,WD,Normal,169500
399,60,8967,Pave,Corner,Norm,Norm,1Story,5,2,1920,1950,Gable,CompShg,MetalSd,MetalSd,BrkTil,Fa,Po,No,961,GasA,Gd,Y,Mix,1077,0,0,1077,0,0,1,1,TA,6,0,Detchd,1920,Unf,1,338,N,0,0,0,0,0,0,NA,11,2007,WD,Abnorml,67000
400,65,8125,Pave,Inside,Norm,Norm,2Story,7,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,PConc,Gd,TA,No,1092,GasA,Ex,Y,SBrkr,1112,438,0,1550,1,0,2,1,Gd,7,0,Attchd,2007,Fin,2,438,Y,0,168,0,0,0,0,NA,10,2009,WD,Normal,241000
401,38,14963,Pave,Inside,Norm,Norm,1Story,8,5,1996,1996,Gable,CompShg,BrkFace,BrkFace,PConc,Gd,TA,No,1260,GasA,Ex,Y,SBrkr,1288,0,0,1288,1,0,1,1,Ex,4,2,Attchd,1996,Fin,2,500,Y,120,30,0,0,224,0,NA,12,2008,WD,Normal,245500
402,65,8767,Pave,Inside,Norm,Norm,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,1310,GasA,Ex,Y,SBrkr,1310,0,0,1310,0,0,2,1,Gd,6,1,Attchd,2005,Fin,2,400,Y,0,0,0,0,0,0,NA,7,2006,New,Partial,164990
403,60,10200,Pave,Inside,Norm,Norm,1Story,5,8,1940,1997,Gable,CompShg,Wd Sdng,Wd Sdng,PConc,TA,TA,No,672,GasA,Ex,Y,SBrkr,672,0,0,672,0,0,1,1,TA,4,0,Detchd,1940,Unf,1,240,N,168,0,0,0,0,0,GdPrv,8,2008,WD,Normal,108000
404,93,12090,Pave,Corner,Norm,Norm,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,1141,GasA,Gd,Y,SBrkr,1165,1098,0,2263,0,0,2,1,Gd,10,1,BuiltIn,1998,Fin,2,420,Y,144,123,0,0,0,0,NA,7,2006,WD,Abnorml,258000
405,NA,10364,Pave,Inside,Norm,Norm,2Story,6,5,1995,1996,Gable,CompShg,MetalSd,MetalSd,PConc,Gd,TA,No,806,GasA,Gd,Y,SBrkr,806,766,0,1572,0,0,2,1,TA,7,1,BuiltIn,1995,Fin,2,373,Y,0,40,0,0,0,0,NA,5,2007,WD,Normal,168000
406,NA,9991,Pave,Corner,Feedr,Norm,1Story,4,4,1976,1993,Gable,CompShg,Plywood,Plywood,CBlock,TA,TA,No,1281,GasA,Ex,Y,SBrkr,1620,0,0,1620,1,0,2,1,TA,8,1,Attchd,1993,Unf,2,490,Y,120,78,0,0,0,0,GdWo,6,2009,WD,Normal,150000
407,51,10480,Pave,Inside,Norm,Norm,1.5Fin,6,5,1936,1950,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,TA,No,1064,GasA,Ex,Y,FuseA,1166,0,473,1639,0,0,1,1,TA,6,0,Detchd,1936,Unf,1,240,Y,0,0,0,0,0,0,NA,3,2008,WD,Normal,115000
408,63,15576,Pave,Inside,Norm,Norm,2Story,6,7,1915,1976,Gable,CompShg,Wd Sdng,Plywood,BrkTil,Gd,TA,No,840,GasA,Ex,Y,SBrkr,840,840,0,1680,0,0,2,1,TA,8,0,Attchd,1960,Unf,1,308,Y,0,0,160,0,0,0,NA,3,2008,WD,Normal,177000
409,109,14154,Pave,Corner,Norm,Norm,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,Gd,No,1063,GasA,Ex,Y,SBrkr,1071,1101,0,2172,0,0,2,1,Gd,9,1,Attchd,2006,RFn,3,947,Y,192,62,0,0,0,0,NA,8,2007,New,Partial,280000
410,85,10800,Pave,Inside,Norm,Norm,2Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,No,1034,GasA,Ex,Y,SBrkr,1050,1028,0,2078,1,0,2,1,Ex,8,1,Attchd,2008,Fin,3,836,Y,0,102,0,0,0,0,NA,4,2008,New,Partial,339750
411,68,9571,Pave,Inside,Norm,Norm,1Story,5,3,1958,1958,Gable,CompShg,BrkComm,Brk Cmn,CBlock,TA,Fa,No,1276,GasA,TA,Y,FuseA,1276,0,0,1276,0,0,1,1,TA,5,0,Attchd,1958,Unf,1,350,Y,0,0,0,0,0,0,NA,6,2009,COD,Abnorml,60000
412,100,34650,Pave,Inside,Norm,Norm,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,Mn,1056,GasA,TA,N,SBrkr,1056,0,0,1056,1,0,1,1,TA,5,0,Attchd,1955,Fin,2,572,Y,264,0,0,0,0,0,NA,1,2006,WD,Normal,145000
413,NA,4403,Pave,Inside,Norm,Norm,1Story,7,5,2009,2009,Gable,CompShg,MetalSd,MetalSd,PConc,Ex,TA,Av,1470,GasA,Ex,Y,SBrkr,1478,0,0,1478,1,0,2,1,Gd,7,1,Attchd,2009,Fin,2,484,Y,0,144,0,0,0,0,NA,6,2010,New,Partial,222000
414,56,8960,Pave,Inside,Artery,Norm,1Story,5,6,1927,1950,Gable,CompShg,WdShing,Wd Shng,CBlock,TA,TA,No,1008,GasA,Gd,Y,FuseA,1028,0,0,1028,0,0,1,1,TA,5,1,Detchd,1927,Unf,2,360,Y,0,0,130,0,0,0,NA,3,2010,WD,Normal,115000
415,59,11228,Pave,CulDSac,Norm,Norm,2Story,7,5,1993,1993,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,1080,GasA,Ex,Y,SBrkr,1080,1017,0,2097,0,1,2,1,Gd,9,1,Attchd,1993,Unf,3,678,Y,196,187,0,0,0,0,NA,12,2008,WD,Normal,228000
416,73,8899,Pave,Inside,Norm,Norm,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,1340,GasA,Ex,Y,SBrkr,1340,0,0,1340,0,0,2,1,Gd,6,0,Attchd,2007,Fin,2,396,Y,100,30,0,0,0,0,NA,8,2007,New,Partial,181134
417,74,7844,Pave,Inside,Norm,Norm,2Story,6,7,1978,1978,Hip,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,672,GasA,TA,Y,SBrkr,672,728,0,1400,0,0,1,1,TA,6,1,Attchd,1978,Fin,2,440,Y,0,0,0,0,0,0,NA,3,2006,WD,Normal,149500
418,86,22420,Pave,Inside,Feedr,Norm,2Story,6,6,1918,1950,Hip,CompShg,Wd Sdng,Stucco,BrkTil,Gd,TA,No,1370,GasW,TA,N,FuseA,1370,1254,0,2624,1,0,2,1,TA,10,1,Detchd,1918,Unf,3,864,N,0,0,0,0,0,0,NA,11,2007,WD,Normal,239000
419,60,8160,Pave,Inside,Norm,Norm,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,TA,No,756,GasA,Fa,N,FuseF,756,378,0,1134,1,0,1,1,TA,7,0,Detchd,1940,Unf,1,240,P,0,0,0,0,0,0,NA,4,2007,WD,AdjLand,126000
420,65,8450,Pave,Inside,Norm,Norm,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,CBlock,TA,TA,No,1056,GasA,Ex,Y,SBrkr,1056,0,0,1056,1,0,1,1,TA,6,1,Attchd,1968,Unf,1,304,Y,0,85,184,0,0,0,NA,7,2010,WD,Normal,142000
421,78,7060,Pave,Inside,Norm,Norm,SFoyer,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,Gd,Gd,1344,GasA,Ex,Y,SBrkr,1344,0,0,1344,2,0,2,2,TA,8,0,Attchd,1997,Fin,4,784,Y,0,0,0,0,0,0,NA,11,2008,WD,Alloca,206300
422,NA,16635,Pave,FR2,Norm,Norm,1Story,6,7,1977,2000,Gable,CompShg,CemntBd,CmentBd,CBlock,Gd,TA,No,1602,GasA,Gd,Y,SBrkr,1602,0,0,1602,0,1,2,1,Gd,8,1,Attchd,1977,Fin,2,529,Y,240,0,0,0,0,0,NA,6,2009,WD,Normal,215000
423,100,21750,Pave,Inside,Artery,Norm,1Story,5,5,1954,1954,Hip,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,988,GasA,Ex,Y,FuseA,988,0,0,988,0,0,1,1,TA,4,0,Attchd,1954,RFn,2,520,N,0,0,0,0,0,0,NA,2,2008,WD,Normal,113000
424,80,9200,Pave,Inside,Norm,Norm,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,1470,GasA,Gd,Y,SBrkr,1470,1160,0,2630,1,0,2,1,Gd,8,1,Attchd,1998,Fin,3,696,Y,0,66,0,0,0,0,NA,6,2008,WD,Normal,315000
425,72,9000,Pave,Inside,Norm,Norm,1Story,6,5,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,Gd,TA,No,1196,GasA,Gd,Y,FuseA,1196,0,0,1196,1,0,1,1,TA,6,1,Attchd,1956,RFn,1,297,Y,0,44,0,0,0,0,NA,5,2008,WD,Normal,139000
426,60,3378,Pave,Inside,Norm,Norm,2Story,7,8,1946,1992,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,651,GasA,Gd,Y,SBrkr,707,682,0,1389,0,0,1,1,TA,6,2,Detchd,1947,Unf,1,240,P,0,0,126,0,0,0,NA,9,2009,WD,Normal,135000
427,NA,12800,Pave,Inside,Norm,Norm,SLvl,7,5,1989,1989,Gable,CompShg,Wd Sdng,Wd Sdng,PConc,Gd,TA,Gd,1518,GasA,Gd,Y,SBrkr,1644,0,0,1644,1,1,2,1,Gd,5,1,Attchd,1989,Fin,2,569,Y,80,0,0,0,396,0,NA,8,2009,WD,Normal,275000
428,77,8593,Pave,Inside,Norm,Norm,1Story,4,6,1957,1957,Hip,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,907,GasA,Ex,Y,SBrkr,907,0,0,907,0,0,1,1,TA,5,0,Detchd,1964,Unf,1,352,Y,0,0,0,0,0,0,NA,7,2008,WD,Normal,109008
429,64,6762,Pave,Inside,Norm,Norm,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,1208,GasA,Ex,Y,SBrkr,1208,0,0,1208,1,0,2,1,Gd,6,0,Attchd,2007,RFn,2,628,Y,105,54,0,0,0,0,NA,9,2007,New,Partial,195400
430,130,11457,Pave,Corner,Norm,Norm,1Story,6,5,1988,1988,Gable,CompShg,HdBoard,HdBoard,CBlock,Gd,TA,Mn,1392,GasA,TA,Y,SBrkr,1412,0,0,1412,1,0,2,1,Gd,6,1,Attchd,1988,Unf,2,576,Y,0,0,169,0,0,0,NA,3,2009,WD,Normal,175000
431,21,1680,Pave,Inside,Norm,Norm,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,483,GasA,TA,Y,SBrkr,483,504,0,987,0,0,1,1,TA,4,0,Detchd,1971,Unf,1,264,Y,0,0,0,0,0,0,NA,7,2008,COD,Abnorml,85400
432,60,5586,Pave,Inside,Feedr,Norm,1.5Fin,6,7,1920,1998,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,TA,No,901,GasA,Gd,Y,SBrkr,1088,110,0,1198,0,0,1,1,TA,7,0,NA,NA,NA,0,0,N,0,98,0,0,0,0,MnPrv,9,2008,ConLD,Abnorml,79900
433,24,1920,Pave,Inside,Norm,Norm,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,765,GasA,Ex,Y,SBrkr,765,600,0,1365,1,0,1,1,TA,6,0,Detchd,1971,Unf,2,440,Y,240,36,0,0,0,0,NA,8,2007,WD,Normal,122500
434,100,10839,Pave,Corner,Norm,Norm,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,926,GasA,Ex,Y,SBrkr,926,678,0,1604,0,0,2,1,TA,7,1,Attchd,1997,Fin,2,470,Y,0,36,0,0,0,0,NA,7,2008,WD,Normal,181000
435,21,1890,Pave,Inside,Norm,Norm,SFoyer,4,7,1972,1972,Gable,CompShg,CemntBd,CmentBd,CBlock,Gd,TA,Av,630,GasA,Gd,Y,SBrkr,630,0,0,630,1,0,1,1,TA,3,0,NA,NA,NA,0,0,Y,88,0,0,0,0,0,NA,6,2008,WD,Normal,81000
